Closing Price,Percent Change,Volume,PEG Ratio,Short Ratio,Pct Change From Year High,Pct Change From Year Low,Pct Change from 50 day mAvg,Ratio of price to 1 yr target price
5.45,-2.68,75821,0.00,3.93,-77.69,23.86,-2.45,0.5694879832810867
34.07,-0.99,35296,2.06,4.08,-4.41,70.52,1.98,0.9398620689655173
19.87,-1.14,327873,0.00,6.80,-12.70,22.35,3.04,0.8930337078651686
3.15,6.78,17979,0.00,2.15,-5.97,37.72,18.00,0.42
44.73,-0.20,311447,1.07,6.82,-20.12,30.87,-10.28,0.8345149253731342
17.60,-2.22,46974,-3.98,3.80,-14.15,34.87,1.27,0.7040000000000001
35.05,-1.20,1298454,1.70,1.09,-9.22,62.87,-3.71,0.8415366146458583
4.15,-1.19,102803,0.00,2.29,-12.63,182.31,25.34,0.711835334476844
26.87,-0.99,16939,2.15,40.01,-8.23,49.28,-1.29,0.876100423866971
1.32,-0.75,23110,-0.20,11.73,-40.00,46.49,-8.05,0.619718309859155
25.00,-4.40,323257,-0.68,46.16,-14.97,129.99,9.20,0.8771929824561403
5.50,-1.96,51360,3.14,8.63,-18.28,24.30,-0.86,0.9166666666666666
1.12,0.90,563,0.00,0.77,-37.78,49.33,-2.18,0.28
3.60,0.28,77806,0.00,1.14,-51.94,0.56,-5.74,0.3
15.95,0.63,346819,-3.43,5.20,-18.62,24.51,-10.84,0.8861111111111111
0.8501,3.6581,822875,0.0000,0.9600,-92.6525,4.9506,-55.5126,0.8501
9.34,-4.11,788758,-1.20,9.23,-6.60,142.60,15.36,1.0097297297297296
14.61,-2.40,142763,0.00,63.47,-41.56,85.29,22.31,0.5844
7.595,1.946,5164927,-20.630,18.090,-37.490,6.522,-10.560,0.5237931034482759
25.63,-0.35,151087,5.01,1.65,-0.58,125.22,6.04,1.1143478260869564
63.15,-0.28,142588,2.32,1.98,-13.93,46.86,-7.79,0.9790697674418605
70.80,-1.26,42876,1.18,2.74,-5.66,30.31,-2.21,1.18
24.08,2.38,492074,0.96,5.28,-46.43,24.57,3.82,0.7334754797441364
3.29,-2.08,236187,-0.07,1.23,-70.39,143.70,17.87,0.5833333333333334
69.84,0.88,703004,-1.44,1.15,-18.07,63.79,-2.39,0.7786821273274613
43.55,-0.34,76765,2.08,12.73,-3.97,64.74,3.82,0.9634955752212389
3.00,0.00,25802,-0.51,6.67,-35.62,9.09,-5.32,0.5714285714285714
0.285,1.786,151604,0.000,0.610,-83.621,77.019,-8.843,0.10363636363636362
13.46,-0.96,1088181,0.33,17.97,-6.40,78.99,10.43,0.84125
36.73,-0.41,51473,2.35,2.21,-6.71,63.32,1.34,0.9794666666666666
22.02,-0.41,1807926,-0.67,16.62,-10.12,310.82,12.66,0.8846926476496585
50.54,-0.67,751063,0.86,6.11,-44.41,7.33,-9.54,0.7624076029567053
2.5964,2.6204,2678,0.0000,7.9000,-5.5855,116.3667,11.7015,0.6491
10.94,2.34,1312732,-0.48,28.41,-17.62,40.26,16.80,0.8634569850039463
82.87,-1.29,958971,2.65,7.25,-5.18,10.64,-0.30,0.952528735632184
23.56,-2.20,22499,0.59,15.22,-17.90,39.74,-0.11,0.9816666666666666
2.91,-0.34,1260311,0.00,1.02,-30.88,162.16,50.11,0.36375
1.19,1.71,13859,-0.06,3.89,-65.80,47.10,-4.42,0.22666666666666666
6.07,-0.49,31493,1.82,6.20,-8.45,48.59,1.99,0.8887262079062958
1.88,-3.09,39866,0.00,0.85,-73.85,27.89,-2.98,0.25066666666666665
23.90,-0.21,4232,27.22,14.44,-8.08,115.90,1.83,0.9192307692307692
88.97,-2.08,911111,3.30,2.39,-29.70,31.73,0.52,0.8744839787694123
12.85,2.80,100012,0.42,3.62,-39.95,19.87,-2.12,0.6119047619047618
3.5401,-1.1145,20665,0.0000,5.6800,-8.5245,162.2296,7.8720,0.885025
8.60,-1.15,233733,-0.10,18.68,-11.98,50.35,-0.78,1.0082063305978899
1.1599,-6.4597,944476,-0.0300,0.5800,-69.3958,131.9800,38.4907,0.17844615384615384
18.10,1.12,46555,-18.30,29.16,-34.42,29.01,7.10,0.8829268292682928
5.00,-1.96,38059,0.00,0.47,-38.95,31.23,-3.05,0.2631578947368421
22.105,-2.017,32023,5.570,2.790,-6.926,116.716,1.581,0.9022448979591837
27.55,0.36,486714,1.60,7.14,-5.16,29.04,-0.05,0.9853361945636624
17.88,-1.87,341493,1.13,10.65,-24.72,1.36,-6.91,0.8445914029286725
21.60,-6.09,4313459,-0.56,7.23,-53.83,2.52,-28.89,0.6476761619190405
28.14,-2.60,78725,0.00,28.97,-32.36,155.12,16.78,0.6991304347826087
2.14,-2.28,105556,0.00,4.44,-75.26,17.58,-7.29,0.2053742802303263
95.45,0.56,3186103,1.03,3.37,-2.17,67.13,4.58,1.022715096967749
6.12,-0.16,107879,1.50,2.61,-41.10,15.04,-8.94,0.8160000000000001
12.85,1.98,41030,0.00,0.42,-13.15,99.53,-1.55,0.8290322580645161
3.21,-4.18,92363,3.78,1.87,-28.51,33.69,-5.59,0.7552941176470588
48.27,-1.17,10776,0.00,8.47,-2.97,53.76,-0.53,0.9282692307692308
23.05,0.00,8486,0.00,0.98,-1.28,34.32,3.33,0.9604166666666667
1.60,-8.57,438554,-0.10,4.54,-81.98,28.00,1.55,0.49230769230769234
1.18,1.72,120197,-0.55,0.70,-38.86,12.38,-2.79,0.3543543543543543
6.15,4.24,206569,-0.01,4.42,-47.66,26.80,7.64,0.31538461538461543
5.61,-4.43,498914,0.00,7.00,-32.41,130.86,10.69,0.36193548387096774
2.35,0.00,66042,-0.11,7.50,-61.35,20.51,-0.75,0.29375
25.88,1.05,8897,0.00,1.61,-31.34,230.14,20.31,0.647
8.99,-0.22,13544,0.00,3.71,-12.53,46.18,3.59,0.7651063829787235
14.95,3.17,415085,0.00,11.26,-27.25,81.43,-0.79,0.5578358208955223
44.05,-0.34,153084,1.76,4.56,-17.34,10.68,1.04,0.8637254901960784
3.56,-1.39,48032,0.91,0.83,-10.78,97.78,0.02,0.8376470588235294
5.11,-0.39,126771,1.26,6.12,-37.68,7.76,-12.09,0.7959501557632399
7.65,0.13,499813,0.64,14.92,-29.17,22.20,-19.16,0.6954545454545454
3.71,0.00,16802,0.00,1.32,-46.31,25.55,7.63,0.53
22.88,0.04,266393,1.14,2.42,-11.39,66.28,-3.25,0.9658083579569438
5.125,-3.484,82751,0.280,4.460,-15.239,54.834,2.193,1.025
12.60,0.24,272360,1.37,5.60,-11.58,31.39,1.04,0.9110629067245118
56.99,-0.21,510715,2.33,10.17,-4.43,60.08,2.34,0.9191935483870968
37.445,-0.412,179142,0.950,4.670,-15.645,26.760,0.148,0.7342156862745098
37.90,0.66,236461,-12.62,26.49,-2.60,83.09,8.12,0.8855140186915889
13.43,-0.30,6649496,0.34,4.74,-2.68,67.46,8.02,0.9795769511305615
3.75,0.00,148013,3.08,7.01,-19.35,50.00,11.76,0.7035647279549718
10.25,0.20,445607,0.00,8.67,-7.41,46.43,3.27,0.640625
8.80,6.02,559371,0.00,20.52,-44.44,155.07,-12.00,0.5176470588235295
7.50,0.67,52956,2.88,4.60,-8.20,56.90,11.52,0.8333333333333334
11.93,-1.65,1845251,1.39,9.13,-21.36,21.73,0.42,0.8377808988764045
24.95,-0.99,222170,1.93,2.44,-7.08,73.87,-1.75,0.9125822970007315
